,Fecha,Valor
0,2018-08-31,17.2
1,2018-09-30,16.9
2,2018-10-31,17.3
3,2018-11-30,17.5
4,2018-12-31,17.4
5,2019-01-31,28.5
6,2019-02-28,29.0
7,2019-03-31,30.7
8,2019-04-30,31.4
9,2019-05-31,31.0
10,2019-06-30,30.0
11,2019-07-31,30.2
12,2019-08-31,48.3
13,2019-09-30,48.0
14,2019-10-31,48.2
15,2019-11-30,45.6
16,2019-12-31,42.2
17,2020-01-31,40.0
18,2020-02-29,39.9
19,2020-03-31,39.5
20,2020-04-30,49.0
21,2020-05-31,51.0
22,2020-06-30,52.5
23,2020-07-31,51.9
24,2020-08-31,51.2
25,2020-09-30,50.5
26,2020-10-31,52.1
27,2020-11-30,52.5
28,2020-12-31,49.8
29,2021-01-31,49.4
30,2021-02-28,45.0
31,2021-03-31,43.1
32,2021-04-30,43.3
33,2021-05-31,43.3
34,2021-06-30,42.9
35,2021-07-31,43.2
36,2021-08-31,43.7
37,2021-09-30,45.6
38,2021-10-31,48.6
39,2021-11-30,52.3
40,2021-12-31,54.8
41,2022-01-31,53.9
42,2022-02-28,52.9
43,2022-03-31,55.4
44,2022-04-30,56.1
45,2022-05-31,60.1
46,2022-06-30,68.8
